"","codcomp","count_H1","count_MA1","count_R1","n","tasaH1","tasaMA1","tasaR1"
"1",113001001,2,2,1,6,0.333333333333333,0.333333333333333,0.166666666666667
"2",113001003,0,2,0,2,0,1,0
"3",113001006,0,6,0,6,0,1,0
"4",113002902,1,3,2,6,0.166666666666667,0.5,0.333333333333333
"5",113004002,1,4,0,6,0.166666666666667,0.666666666666667,0
"6",113004004,3,2,1,6,0.5,0.333333333333333,0.166666666666667
"7",113005001,1,4,1,6,0.166666666666667,0.666666666666667,0.166666666666667
"8",113005003,2,3,1,6,0.333333333333333,0.5,0.166666666666667
"9",113005005,1,3,0,4,0.25,0.75,0
"10",113005006,1,1,2,5,0.2,0.2,0.4
"11",113005009,0,1,2,3,0,0.333333333333333,0.666666666666667
"12",113005012,3,2,1,6,0.5,0.333333333333333,0.166666666666667
"13",113018011,2,0,1,6,0.333333333333333,0,0.166666666666667
"14",113018014,0,2,2,6,0,0.333333333333333,0.333333333333333
"15",113019001,1,3,2,6,0.166666666666667,0.5,0.333333333333333
"16",113019003,0,5,1,6,0,0.833333333333333,0.166666666666667
"17",113019006,1,3,1,6,0.166666666666667,0.5,0.166666666666667
"18",113019008,2,3,1,6,0.333333333333333,0.5,0.166666666666667
"19",113020003,3,1,2,6,0.5,0.166666666666667,0.333333333333333
"20",113021017,0,4,2,6,0,0.666666666666667,0.333333333333333
"21",113028002,2,4,0,6,0.333333333333333,0.666666666666667,0
"22",113028004,1,4,0,7,0.142857142857143,0.571428571428571,0
"23",113028007,1,3,2,6,0.166666666666667,0.5,0.333333333333333
"24",113028600,3,2,1,6,0.5,0.333333333333333,0.166666666666667
"25",113029008,1,4,0,6,0.166666666666667,0.666666666666667,0
"26",113029010,2,1,1,6,0.333333333333333,0.166666666666667,0.166666666666667
"27",113030004,1,4,1,7,0.142857142857143,0.571428571428571,0.142857142857143
"28",113030007,0,2,1,6,0,0.333333333333333,0.166666666666667
"29",113030601,1,2,1,6,0.166666666666667,0.333333333333333,0.166666666666667
